"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1982-12-04,"EDM","CGY",21,"Jari Kurri",NA,"Reggie Lemelin","3",1899-12-31 00:33:00,"EV","Northlands Coliseum","W","H",0,0
1982-11-26,"EDM","WIN",21,"Jari Kurri","Randy Gregg","Ed Staniowski","1",1899-12-31 17:42:00,"EV","Winnipeg Arena","W","A",0,0
1982-11-26,"EDM","WIN",21,"Jari Kurri","Jaroslav Pouzar","Ed Staniowski","3",1899-12-31 07:01:00,"EV","Winnipeg Arena","W","A",0,0
1982-11-24,"EDM","WSH",21,"Dave Lumley",NA,"Pat Riggin","2",1899-12-31 00:40:00,"EV","Northlands Coliseum","T","H",0,0
1982-11-21,"EDM","QUE",21,NA,NA,"Clint Malarchuk","1",1899-12-31 14:44:00,"EV","Northlands Coliseum","L","H",0,0
1982-11-21,"EDM","QUE",21,"Charlie Huddy","Kevin Lowe","Clint Malarchuk","2",1899-12-31 04:24:00,"EV","Northlands Coliseum","L","H",0,0
1982-11-21,"EDM","QUE",21,"Jari Kurri","Pat Hughes","Clint Malarchuk","2",1899-12-31 12:25:00,"PP","Northlands Coliseum","L","H",0,0
1982-11-14,"EDM","NYR",21,"Charlie Huddy","Jaroslav Pouzar","Steve Weeks","2",1899-12-31 01:15:00,"EV","Madison Square Garden (IV)","W","A",0,0
1982-11-14,"EDM","NYR",21,"Mark Messier","Paul Coffey","Steve Weeks","2",1899-12-31 13:23:00,"PP","Madison Square Garden (IV)","W","A",0,0
1982-11-13,"EDM","PHI",21,"Jaroslav Pouzar","Paul Coffey","Pelle Lindbergh","2",1899-12-31 04:18:00,"EV","The Spectrum","W","A",0,0
1982-11-11,"EDM","NJD",21,"Ken Linseman","Mark Messier","Glenn Resch","2",1899-12-31 15:17:00,"PP","Brendan Byrne Arena","W","A",0,0
1982-11-05,"EDM","NYR",21,"Jari Kurri","Kevin Lowe","Eddie Mio","3",1899-12-31 10:16:00,"EV","Northlands Coliseum","W","H",0,0
1982-11-03,"EDM","WIN",21,"Glenn Anderson","Dave Hunter","Doug Soetaert","3",1899-12-31 07:20:00,"EV","Northlands Coliseum","W","H",0,0
1982-10-31,"EDM","VAN",21,"Jari Kurri","Mark Messier","Richard Brodeur","1",1899-12-31 14:20:00,"EV","Northlands Coliseum","L","H",0,0
1982-10-29,"EDM","LAK",21,"Laurie Boschman","Paul Coffey","Mike Blake","3",1899-12-31 17:34:00,"SH","Northlands Coliseum","W","H",0,0
1982-10-17,"EDM","BUF",21,"Tom Roulston","Charlie Huddy","Bob Sauve","2",1899-12-31 10:59:00,"EV","Buffalo Memorial Auditorium","L","A",0,0
